year,total_pop,state_name,city_name,crime,cases,avg_case,state_pop
1978,456e3,Georgia,Atlanta,homicides,144,144,228e4
1978,131499,Colorado,Aurora,homicides,12,54.5,3085230
1978,331557,Texas,Austin,homicides,35,142.57142857142858,22016340
1978,781730,Maryland,Baltimore,homicides,197,67.5,12510920
1978,641120,Maryland,Baltimore County,homicides,27,67.5,12510920
1978,616225,Massachusetts,Boston,homicides,72,72,3081125
1978,391695,New York,Buffalo,homicides,44,395.25,49458630
1978,309101,North Carolina,Charlotte-Mecklenburg,homicides,51,31.5,2296125
1978,3086699,Illinois,Chicago,homicides,787,787,15433495
1978,405324,Ohio,Cincinnati,homicides,57,112.33333333333333,7990870
1978,614512,Ohio,Cleveland,homicides,213,112.33333333333333,7990870
1978,578338,Ohio,Columbus,homicides,67,112.33333333333333,7990870
1978,871832,Texas,Dallas,homicides,230,142.57142857142858,22016340
1978,485547,Colorado,Denver,homicides,97,54.5,3085230
1978,1294359,Michigan,Detroit,homicides,498,498,6471795
1978,399e3,Texas,El Paso,homicides,21,142.57142857142858,22016340
1978,522890,Virginia,Fairfax County,homicides,17,10,3817720
1978,375860,Texas,Fort Worth,homicides,86,142.57142857142858,22016340
1978,194774,California,Fresno,homicides,42,147.66666666666666,34659310
1978,725259,Hawaii,Honolulu,homicides,38,38,3626295
1978,1486489,Texas,Houston,homicides,484,142.57142857142858,22016340
1978,513271,Indiana,Indianapolis,homicides,76,76,2566355
1978,523199,Florida,Jacksonville,homicides,79,65,9521690
1978,463931,Missouri,Kansas City,homicides,115,162.5,4945270
1978,288865,Nevada,Las Vegas,homicides,54,54,1444325
1978,344154,California,Long Beach,homicides,68,147.66666666666666,34659310
1978,2787525,California,Los Angeles,homicides,651,147.66666666666666,34659310
1978,972663,California,Los Angeles County,homicides,180,147.66666666666666,34659310
1978,683112,Tennessee,Memphis,homicides,113,97,5677760
1978,124937,Arizona,Mesa,homicides,4,39.333333333333336,5654500
1978,330060,Florida,Miami,homicides,96,65,9521690
1978,669511,Florida,Miami-Dade County,homicides,96,65,9521690
1978,623657,Wisconsin,Milwaukee,homicides,48,48,3118285
1978,374800,Minnesota,Minneapolis,homicides,26,26,1874e3
1978,525247,Maryland,Montgomery County,homicides,10,67.5,12510920
1978,452440,Tennessee,Nashville,homicides,81,97,5677760
1978,1100131,New York,Nassau County,homicides,13,395.25,49458630
1978,559160,Louisiana,New Orleans,homicides,216,216,2795800
1978,7242886,New York,New York City,homicides,1503,395.25,49458630
1978,325679,New Jersey,Newark,homicides,109,109,1628395
1978,327756,California,Oakland,homicides,97,147.66666666666666,34659310
1978,381184,Oklahoma,Oklahoma City,homicides,67,56,3685920
1978,118393,Florida,Orlando,homicides,13,65,9521690
1978,1885533,Pennsylvania,Philadelphia,homicides,352,209,11824880
1978,696763,Arizona,Phoenix,homicides,88,39.333333333333336,5654500
1978,479443,Pennsylvania,Pittsburgh,homicides,66,209,11824880
1978,362497,Oregon,Portland,homicides,34,34,1812485
1978,554087,Maryland,Prince George's County,homicides,36,67.5,12510920
1978,150124,North Carolina,Raleigh,homicides,12,31.5,2296125
1978,261465,California,Sacramento,homicides,61,147.66666666666666,34659310
1978,185e3,Utah,Salt Lake City,homicides,21,21,925e3
1978,816780,Texas,San Antonio,homicides,136,142.57142857142858,22016340
1978,797293,California,San Diego,homicides,68,147.66666666666666,34659310
1978,658611,California,San Francisco,homicides,118,147.66666666666666,34659310
1978,587621,California,San Jose,homicides,44,147.66666666666666,34659310
1978,489961,Washington,Seattle,homicides,54,54,2449805
1978,525123,Missouri,St. Louis,homicides,210,162.5,4945270
1978,1157014,New York,Suffolk County,homicides,21,395.25,49458630
1978,263175,Florida,Tampa,homicides,41,65,9521690
1978,309200,Arizona,Tucson,homicides,26,39.333333333333336,5654500
1978,356e3,Oklahoma,Tulsa,homicides,45,56,3685920
1978,240654,Virginia,Virginia Beach,homicides,3,10,3817720
1978,260642,Kansas,Wichita,homicides,25,25,1303210
1979,302120,New Mexico,Albuquerque,homicides,47,47,1510600
1979,130265,Texas,Arlington,homicides,11,188.28571428571428,22984125
1979,423103,Georgia,Atlanta,homicides,231,231,2115515
1979,134224,Colorado,Aurora,homicides,9,37.5,3103155
1979,337727,Texas,Austin,homicides,43,188.28571428571428,22984125
1979,790901,Maryland,Baltimore,homicides,245,82.75,12565215
1979,639872,Maryland,Baltimore County,homicides,21,82.75,12565215
1979,599582,Massachusetts,Boston,homicides,92,92,2997910
1979,383915,New York,Buffalo,homicides,52,457.75,48824520
1979,300569,North Carolina,Charlotte-Mecklenburg,homicides,50,33.5,2204270
1979,3060801,Illinois,Chicago,homicides,856,856,15304005
1979,404661,Ohio,Cincinnati,homicides,50,131,7700470
1979,601381,Ohio,Cleveland,homicides,274,131,7700470
1979,534052,Ohio,Columbus,homicides,69,131,7700470
1979,882225,Texas,Dallas,homicides,307,188.28571428571428,22984125
1979,486407,Colorado,Denver,homicides,66,37.5,3103155
1979,1258924,Michigan,Detroit,homicides,452,452,6294620
1979,413244,Texas,El Paso,homicides,33,188.28571428571428,22984125
1979,519384,Virginia,Fairfax County,homicides,11,10.5,3818460
1979,384582,Texas,Fort Worth,homicides,99,188.28571428571428,22984125
1979,194849,California,Fresno,homicides,43,165.88888888888889,35158800
1979,734368,Hawaii,Honolulu,homicides,48,48,3671840
1979,1619644,Texas,Houston,homicides,654,188.28571428571428,22984125
1979,513877,Indiana,Indianapolis,homicides,92,92,2569385
1979,546419,Florida,Jacksonville,homicides,73,78,9927750
1979,462914,Missouri,Kansas City,homicides,119,192,4841825
1979,324220,Nevada,Las Vegas,homicides,75,75,1621100
1979,349158,California,Long Beach,homicides,61,165.88888888888889,35158800
1979,2863412,California,Los Angeles,homicides,786,165.88888888888889,35158800
1979,911864,California,Los Angeles County,homicides,201,165.88888888888889,35158800
1979,682110,Tennessee,Memphis,homicides,103,96,5632765
1979,115498,Arizona,Mesa,homicides,2,35.666666666666664,5748460
1979,362840,Florida,Miami,homicides,134,78,9927750
1979,677573,Florida,Miami-Dade County,homicides,129,78,9927750
1979,645097,Wisconsin,Milwaukee,homicides,63,63,3225485
1979,363899,Minnesota,Minneapolis,homicides,30,30,1819495
1979,522756,Maryland,Montgomery County,homicides,17,82.75,12565215
1979,444443,Tennessee,Nashville,homicides,89,96,5632765
1979,1105718,New York,Nassau County,homicides,20,457.75,48824520
1979,567656,Louisiana,New Orleans,homicides,242,242,2838280
1979,7109420,New York,New York City,homicides,1733,457.75,48824520
1979,315818,New Jersey,Newark,homicides,129,129,1579090
1979,344686,California,Oakland,homicides,106,165.88888888888889,35158800
1979,381348,Oklahoma,Oklahoma City,homicides,83,63.5,3623030
1979,121515,Florida,Orlando,homicides,17,78,9927750
1979,1757368,Pennsylvania,Philadelphia,homicides,385,226.5,10983875
1979,718216,Arizona,Phoenix,homicides,91,35.666666666666664,5748460
1979,439407,Pennsylvania,Pittsburgh,homicides,68,226.5,10983875
1979,406525,Oregon,Portland,homicides,39,39,2032625
1979,559514,Maryland,Prince George's County,homicides,48,82.75,12565215
1979,140285,North Carolina,Raleigh,homicides,17,33.5,2204270
1979,274300,California,Sacramento,homicides,44,165.88888888888889,35158800
1979,180189,Utah,Salt Lake City,homicides,18,18,900945
1979,829138,Texas,San Antonio,homicides,171,188.28571428571428,22984125
1979,829322,California,San Diego,homicides,96,165.88888888888889,35158800
1979,659176,California,San Francisco,homicides,112,165.88888888888889,35158800
1979,604993,California,San Jose,homicides,44,165.88888888888889,35158800
1979,521590,Washington,Seattle,homicides,37,37,2607950
1979,505451,Missouri,St. Louis,homicides,265,192,4841825
1979,1165851,New York,Suffolk County,homicides,26,457.75,48824520
1979,277203,Florida,Tampa,homicides,37,78,9927750
1979,315978,Arizona,Tucson,homicides,14,35.666666666666664,5748460
1979,343258,Oklahoma,Tulsa,homicides,44,63.5,3623030
1979,244308,Virginia,Virginia Beach,homicides,10,10.5,3818460
1979,273559,Kansas,Wichita,homicides,32,32,1367795
1980,328837,New Mexico,Albuquerque,homicides,49,49,1644185
1980,161192,Texas,Arlington,homicides,7,173.85714285714286,22790730
1980,422474,Georgia,Atlanta,homicides,201,201,2112370
1980,158249,Colorado,Aurora,homicides,10,54.5,3237835
1980,343425,Texas,Austin,homicides,43,173.85714285714286,22790730
1980,784554,Maryland,Baltimore,homicides,216,77.75,12557095
1980,651337,Maryland,Baltimore County,homicides,26,77.75,12557095
1980,562582,Massachusetts,Boston,homicides,92,92,2812910
1980,357384,New York,Buffalo,homicides,61,484,48003835
1980,310794,North Carolina,Charlotte-Mecklenburg,homicides,60,36,2296115
1980,2986419,Illinois,Chicago,homicides,863,863,14932095
1980,383114,Ohio,Cincinnati,homicides,48,133.33333333333334,7590935
1980,572657,Ohio,Cleveland,homicides,265,133.33333333333334,7590935
1980,562416,Ohio,Columbus,homicides,87,133.33333333333334,7590935
1980,900104,Texas,Dallas,homicides,319,173.85714285714286,22790730
1980,489318,Colorado,Denver,homicides,99,54.5,3237835
1980,1197325,Michigan,Detroit,homicides,547,547,5986625
1980,425122,Texas,El Paso,homicides,54,173.85714285714286,22790730
1980,568736,Virginia,Fairfax County,homicides,21,16,4147080
1980,382679,Texas,Fort Worth,homicides,106,173.85714285714286,22790730
1980,215396,California,Fresno,homicides,49,199.33333333333334,36676370
1980,762020,Hawaii,Honolulu,homicides,65,65,3810100
1980,1557575,Texas,Houston,homicides,524,173.85714285714286,22790730
1980,698753,Indiana,Indianapolis,homicides,107,107,3493765
1980,542795,Florida,Jacksonville,homicides,70,112.6,10247620
1980,446865,Missouri,Kansas City,homicides,132,178.5,4488275
1980,385396,Nevada,Las Vegas,homicides,92,92,1926980
1980,356906,California,Long Beach,homicides,82,199.33333333333334,36676370
1980,2952511,California,Los Angeles,homicides,1010,199.33333333333334,36676370
1980,1020111,California,Los Angeles County,homicides,201,199.33333333333334,36676370
1980,644957,Tennessee,Memphis,homicides,152,119.5,5484910
1980,149662,Arizona,Mesa,homicides,10,50.333333333333336,6270260
1980,335718,Florida,Miami,homicides,220,112.6,10247620
1980,774491,Florida,Miami-Dade County,homicides,212,112.6,10247620
1980,633845,Wisconsin,Milwaukee,homicides,74,74,3169225
1980,370163,Minnesota,Minneapolis,homicides,36,36,1850815
1980,519381,Maryland,Montgomery County,homicides,16,77.75,12557095
1980,452025,Tennessee,Nashville,homicides,87,119.5,5484910
1980,1049118,New York,Nassau County,homicides,20,484,48003835
1980,557761,Louisiana,New Orleans,homicides,218,218,2788805
1980,7035348,New York,New York City,homicides,1812,484,48003835
1980,330104,New Jersey,Newark,homicides,163,163,1650520
1980,338721,California,Oakland,homicides,132,199.33333333333334,36676370
1980,401577,Oklahoma,Oklahoma City,homicides,72,54,3786715
1980,127811,Florida,Orlando,homicides,17,112.6,10247620
1980,1681175,Pennsylvania,Philadelphia,homicides,436,243,10526900
1980,772884,Arizona,Phoenix,homicides,103,50.333333333333336,6270260
1980,424205,Pennsylvania,Pittsburgh,homicides,50,243,10526900
1980,364419,Oregon,Portland,homicides,46,46,1822095
1980,556147,Maryland,Prince George's County,homicides,53,77.75,12557095
1980,148429,North Carolina,Raleigh,homicides,12,36,2296115
1980,274547,California,Sacramento,homicides,45,199.33333333333334,36676370
1980,162985,Utah,Salt Lake City,homicides,16,16,814925
1980,788049,Texas,San Antonio,homicides,164,173.85714285714286,22790730
1980,874826,California,San Diego,homicides,103,199.33333333333334,36676370
1980,674150,California,San Francisco,homicides,110,199.33333333333334,36676370
1980,628106,California,San Jose,homicides,62,199.33333333333334,36676370
1980,491897,Washington,Seattle,homicides,63,63,2459485
1980,450790,Missouri,St. Louis,homicides,225,178.5,4488275
1980,1158917,New York,Suffolk County,homicides,43,484,48003835
1980,268709,Florida,Tampa,homicides,44,112.6,10247620
1980,331506,Arizona,Tucson,homicides,38,50.333333333333336,6270260
1980,355766,Oklahoma,Tulsa,homicides,36,54,3786715
1980,260680,Virginia,Virginia Beach,homicides,11,16,4147080
1980,279352,Kansas,Wichita,homicides,32,32,1396760
1981,336840,New Mexico,Albuquerque,homicides,45,45,1684200
1981,167848,Texas,Arlington,homicides,12,168.42857142857142,23731875
1981,435626,Georgia,Atlanta,homicides,181,181,2178130
1981,162900,Colorado,Aurora,homicides,10,55,3332975
1981,357607,Texas,Austin,homicides,39,168.42857142857142,23731875
1981,797429,Maryland,Baltimore,homicides,228,82.5,12758905
1981,662025,Maryland,Baltimore County,homicides,32,82.5,12758905
1981,566679,Massachusetts,Boston,homicides,100,100,2833395
1981,359167,New York,Buffalo,homicides,25,474.75,48243220
1981,316503,North Carolina,Charlotte-Mecklenburg,homicides,51,31,2338290
1981,3012703,Illinois,Chicago,homicides,877,877,15063515
1981,383441,Ohio,Cincinnati,homicides,43,122.33333333333333,7597410
1981,573145,Ohio,Cleveland,homicides,233,122.33333333333333,7597410
1981,562896,Ohio,Columbus,homicides,91,122.33333333333333,7597410
1981,937273,Texas,Dallas,homicides,298,168.42857142857142,23731875
1981,503695,Colorado,Denver,homicides,100,55,3332975
1981,1193805,Michigan,Detroit,homicides,502,502,5969025
1981,442677,Texas,El Paso,homicides,35,168.42857142857142,23731875
1981,579696,Virginia,Fairfax County,homicides,14,13,4227e3
1981,398482,Texas,Fort Worth,homicides,113,168.42857142857142,23731875
1981,221129,California,Fresno,homicides,33,180.88888888888889,37652490
1981,773331,Hawaii,Honolulu,homicides,40,40,3866655
1981,1621897,Texas,Houston,homicides,497,168.42857142857142,23731875
1981,461820,Indiana,Indianapolis,homicides,65,65,2309100
1981,575157,Florida,Jacksonville,homicides,89,129.4,10881020
1981,450211,Missouri,Kansas City,homicides,115,190,4521885
1981,406915,Nevada,Las Vegas,homicides,106,106,2034575
1981,366405,California,Long Beach,homicides,74,180.88888888888889,37652490
1981,3031090,California,Los Angeles,homicides,879,180.88888888888889,37652490
1981,1047260,California,Los Angeles County,homicides,183,180.88888888888889,37652490
1981,654096,Tennessee,Memphis,homicides,133,106,5562630
1981,153941,Arizona,Mesa,homicides,1,41.666666666666664,6449545
1981,356734,Florida,Miami,homicides,210,129.4,10881020
1981,822971,Florida,Miami-Dade County,homicides,254,129.4,10881020
1981,641715,Wisconsin,Milwaukee,homicides,71,71,3208575
1981,372784,Minnesota,Minneapolis,homicides,28,28,1863920
1981,527903,Maryland,Montgomery County,homicides,12,82.5,12758905
1981,458430,Tennessee,Nashville,homicides,79,106,5562630
1981,1054349,New York,Nassau County,homicides,27,474.75,48243220
1981,571771,Louisiana,New Orleans,homicides,217,217,2858855
1981,7070429,New York,New York City,homicides,1826,474.75,48243220
1981,332746,New Jersey,Newark,homicides,161,161,1663730
1981,347736,California,Oakland,homicides,118,180.88888888888889,37652490
1981,414523,Oklahoma,Oklahoma City,homicides,65,56,3908785
1981,135812,Florida,Orlando,homicides,25,129.4,10881020
1981,1686834,Pennsylvania,Philadelphia,homicides,362,205.5,10562330
1981,794983,Arizona,Phoenix,homicides,96,41.666666666666664,6449545
1981,425632,Pennsylvania,Pittsburgh,homicides,49,205.5,10562330
1981,369518,Oregon,Portland,homicides,38,38,1847590
