year,total_pop,homs_sum,rape_sum,rob_sum,agg_ass_sum,violent_crime,months_reported,violent_per_100k,homs_per_100k,rape_per_100k,rob_per_100k,agg_ass_per_100k,abb,state_name,city_name,city_state
1977,643363,22,162,717,3109,4010,12,623.287319911154,3.41953143093401,25.1801859914232,111.445637999077,483.24196448972,MD,Maryland,Baltimore County,"Baltimore County, Maryland"
1977,3086806,823,1227,16512,10311,28873,12,935.368144288951,26.6618634277632,39.7498255478316,534.921857739035,334.034597574321,IL,Illinois,Chicago,"Chicago, Illinois"
1977,423671,72,291,1625,1451,3439,12,811.714750360539,16.9943187048441,68.6853714320782,383.552331880162,342.482728343455,OH,Ohio,Cincinnati,"Cincinnati, Ohio"
1977,638793,249,508,6466,2198,9421,12,1474.81265449058,38.9797633975325,79.5249791403475,1012.22148645962,344.086425493078,OH,Ohio,Cleveland,"Cleveland, Ohio"
1977,568800,69,331,1752,1086,3238,12,569.268635724332,12.1308016877637,58.1926863572433,308.016877637131,190.928270042194,OH,Ohio,Columbus,"Columbus, Ohio"
1977,873700,224,637,3637,4401,8899,12,1018.54183358132,25.6380908778757,72.908320933959,416.275609476937,503.719812292549,TX,Texas,Dallas,"Dallas, Texas"
1977,520200,73,466,2488,2005,5032,12,967.320261437908,14.0330642060746,89.5809304113802,478.277585544022,385.428681276432,CO,Colorado,Denver,"Denver, Colorado"
1977,386e3,32,107,824,597,1560,12,404.145077720207,8.29015544041451,27.720207253886,213.471502590674,154.663212435233,TX,Texas,El Paso,"El Paso, Texas"
1977,383028,102,208,1132,1119,2561,12,668.619526509811,26.6299069519722,54.3041239804923,295.539751663064,292.145743914283,TX,Texas,Fort Worth,"Fort Worth, Texas"
1977,182629,52,71,958,592,1673,12,916.064808984334,28.4730245470325,38.8766296699867,524.560721462637,324.154433304678,CA,California,Fresno,"Fresno, California"
1977,1613303,376,965,6153,1810,9304,12,576.705057884353,23.306223319488,59.8151742109201,381.391468310665,112.19219204328,TX,Texas,Houston,"Houston, Texas"
1977,509e3,80,346,2139,1220,3785,12,743.614931237721,15.7170923379175,67.9764243614931,420.235756385069,239.685658153242,IN,Indiana,Indianapolis,"Indianapolis, Indiana"
1977,528698,77,299,1466,2329,4171,12,788.919193944369,14.5640800608287,56.5540251712698,277.284952846427,440.516135865844,FL,Florida,Jacksonville,"Jacksonville, Florida"
1977,492055,97,325,2326,2868,5616,12,1141.33582627958,19.7132434382335,66.0495269837721,472.711383890012,582.861671967565,MO,Missouri,Kansas City,"Kansas City, Missouri"
1977,279791,59,183,1419,1068,2729,12,975.370901851739,21.0871686365895,65.4059637372181,507.164276191872,381.71349328606,NV,Nevada,Las Vegas,"Las Vegas, Nevada"
1977,346662,75,226,1996,1094,3391,12,978.186244814834,21.634906623743,65.193185292879,575.776981613214,315.581171284998,CA,California,Long Beach,"Long Beach, California"
1977,2785393,576,2339,15246,15515,33676,12,1209.02149176077,20.6793080904562,83.9737875409323,547.355436019262,557.012960110117,CA,California,Los Angeles,"Los Angeles, California"
1977,1040180,173,631,2963,6822,10589,12,1017.99688515449,16.6317368147821,60.6625776307947,284.854544405776,655.84802630314,CA,California,Los Angeles County,"Los Angeles County, California"
1977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KY,Kentucky,Louisville,"Louisville, Kentucky"
1977,667150,105,581,2749,1796,5231,12,784.08154088286,15.7385895225961,87.0868620250319,412.051262834445,269.204826500787,TN,Tennessee,Memphis,"Memphis, Tennessee"
1977,116400,4,34,83,264,385,12,330.756013745704,3.43642611683849,29.2096219931271,71.3058419243986,226.80412371134,AZ,Arizona,Mesa,"Mesa, Arizona"
1977,333713,84,178,2447,2637,5346,12,1601.97535007626,25.1713298552948,53.3392465981247,733.264811379838,790.199962243005,FL,Florida,Miami,"Miami, Florida"
1977,657954,90,277,2161,4676,7204,12,1094.9093705639,13.6787678165951,42.1002076132982,328.442413907355,710.687981226651,FL,Florida,Miami-Dade County,"Miami-Dade County, Florida"
1977,640489,54,213,1389,879,2535,12,395.791340678763,8.43105814463636,33.255840459399,216.865551164813,137.238890909914,WI,Wisconsin,Milwaukee,"Milwaukee, Wisconsin"
1977,390294,38,324,1652,1116,3130,12,801.959548442969,9.73625010889227,83.014343033713,423.270662628685,285.938292671678,MN,Minnesota,Minneapolis,"Minneapolis, Minnesota"
1977,491003,14,105,484,313,916,12,186.556904947628,2.85130640749649,21.3847980562237,98.5737358020216,63.7470646818859,MD,Maryland,Montgomery County,"Montgomery County, Maryland"
1977,456589,82,187,1688,1000,2957,12,647.628392274014,17.9592587644468,40.9558705969701,369.697912126661,219.015350785937,TN,Tennessee,Nashville,"Nashville, Tennessee"
1977,NA,19120,NA,NA,NA,1029580,NA,475.9,8.8,NA,NA,NA,NA,NA,National,"National, NA"
1977,587776,173,360,3279,2135,5947,12,1011.7799978223,29.432981271777,61.2478222996516,557.865581445993,363.233612804878,LA,Louisiana,New Orleans,"New Orleans, Louisiana"
1977,351412,92,324,3203,2556,6175,12,1757.1966808191,26.1800962972238,92.1994695684837,911.465743913128,727.35137104026,NJ,New Jersey,Newark,"Newark, New Jersey"
1977,339264,94,366,3037,2267,5764,12,1698.97189209583,27.7070364082249,107.880588568195,895.173080550839,668.211186568572,CA,California,Oakland,"Oakland, California"
1977,373570,67,251,775,1602,2695,12,721.417672725326,17.9350590250823,67.1895494820248,207.457772305057,428.835291913162,OK,Oklahoma,Oklahoma City,"Oklahoma City, Oklahoma"
1977,118374,15,85,274,769,1143,12,965.583658573673,12.6717015560849,71.8063088178147,231.469748424485,649.635899775289,FL,Florida,Orlando,"Orlando, Florida"
1977,1897706,323,771,6999,3954,12047,12,634.819092103835,17.0205500746691,40.6280003330337,368.813715085477,208.356826610655,PA,Pennsylvania,Philadelphia,"Philadelphia, Pennsylvania"
1977,682200,70,316,1594,2315,4295,12,629.580768103196,10.260920551158,46.3207270595133,233.655819407798,339.343301084726,AZ,Arizona,Phoenix,"Phoenix, Arizona"
1977,482413,52,252,2539,1729,4572,12,947.735653889924,10.7791456697892,52.237398245901304,526.312516453744,358.40659352049,PA,Pennsylvania,Pittsburgh,"Pittsburgh, Pennsylvania"
1977,385230,41,337,1703,1892,3973,12,1031.33193157335,10.6429924979882,87.4802066298056,442.073566440828,491.135166004724,OR,Oregon,Portland,"Portland, Oregon"
1977,550201,51,264,1933,1476,3724,12,676.843553537707,9.26933975038213,47.9824645902134,351.326151715464,268.265597481648,MD,Maryland,Prince George's County,"Prince George's County, Maryland"
1977,265220,41,205,1276,1393,2915,12,1099.08754995852,15.4588643390393,77.2943216951964,481.110021868637,525.224342055652,CA,California,Sacramento,"Sacramento, California"
1977,180122,12,112,479,461,1064,12,590.710740498107,6.66215120862526,62.1800779471691,265.930869077625,255.937642264687,UT,Utah,Salt Lake City,"Salt Lake City, Utah"
1977,764217,146,273,1460,1876,3755,12,491.352587026983,19.1045213597709,35.722837885051,191.045213597709,245.480014184453,TX,Texas,San Antonio,"San Antonio, Texas"
1977,788621,50,298,2481,1585,4414,12,559.71119206818,6.34018115165587,37.787479663869,314.599788745164,200.983742507491,CA,California,San Diego,"San Diego, California"
1977,676625,141,595,5423,3208,9367,12,1384.37095880288,20.8387215961574,87.9364492887493,801.477923517458,474.117864400517,CA,California,San Francisco,"San Francisco, California"
1977,568303,41,322,1031,1276,2670,12,469.819796833731,7.214461299694,56.6599155732065,181.417307316696,224.528112644135,CA,California,San Jose,"San Jose, California"
1977,512059,195,473,4943,4115,9726,12,1899.39049992286,38.0815491964793,92.3721680509473,965.318449631781,803.618333043653,MO,Missouri,St. Louis,"St. Louis, Missouri"
1977,264848,31,195,1062,1906,3194,12,1205.97474777986,11.7048269195916,73.6271370748505,400.984715761493,719.658068023923,FL,Florida,Tampa,"Tampa, Florida"
